Tag Family,Serial No.,ID Code,"Sensor 
Type","VUE Tag ID
(Freq-Space-ID)",Freq  (kHz),"Est. Tag Life 
(Days)",Sensor Types,Range,Units,Slope,Intercept,Transmit Ratio*
V13A-1x,1222430,1973,Acc,A69-9004-1973,69,353,Acceleration,3.43,(m/s)/s,0.013588,0,1
V13A-1x,1222431,1974,Acc,A69-9004-1974,69,353,Acceleration,4.43,(m/s)/s,0.013588,0,1
V13A-1x,1222432,1975,Acc,A69-9004-1975,69,353,Acceleration,5.43,(m/s)/s,0.013588,0,1
V13A-1x,1222433,1976,Acc,A69-9004-1976,69,353,Acceleration,6.43,(m/s)/s,0.013588,0,1
V13A-1x,1222434,1977,Acc,A69-9004-1977,69,353,Acceleration,7.43,(m/s)/s,0.013588,0,1
V13A-1x,1222435,1978,Acc,A69-9004-1978,69,353,Acceleration,8.43,(m/s)/s,0.013588,0,1
V13A-1x,1222436,1979,Acc,A69-9004-1979,69,353,Acceleration,9.43,(m/s)/s,0.013588,0,1
V13A-1x,1222437,1980,Acc,A69-9004-1980,69,353,Acceleration,10.43,(m/s)/s,0.013588,0,1
V13A-1x,1222438,1981,Acc,A69-9004-1981,69,353,Acceleration,11.43,(m/s)/s,0.013588,0,1
V13A-1x,1222439,1982,Acc,A69-9004-1982,69,353,Acceleration,12.43,(m/s)/s,0.013588,0,1
V13A-1x,1222440,1983,Acc,A69-9004-1983,69,353,Acceleration,13.43,(m/s)/s,0.013588,0,1
V13A-1x,1222441,1984,Acc,A69-9004-1984,69,353,Acceleration,14.43,(m/s)/s,0.013588,0,1
V13A-1x,1222442,1985,Acc,A69-9004-1985,69,353,Acceleration,15.43,(m/s)/s,0.013588,0,1
V13A-1x,1222443,1986,Acc,A69-9004-1986,69,353,Acceleration,16.43,(m/s)/s,0.013588,0,1
V13A-1x,1222444,1987,Acc,A69-9004-1987,69,353,Acceleration,17.43,(m/s)/s,0.013588,0,1
V13A-1x,1222445,1988,Acc,A69-9004-1988,69,353,Acceleration,18.43,(m/s)/s,0.013588,0,1
V13A-1x,1222446,1989,Acc,A69-9004-1989,69,353,Acceleration,19.43,(m/s)/s,0.013588,0,1
V13A-1x,1222447,1990,Acc,A69-9004-1990,69,353,Acceleration,20.43,(m/s)/s,0.013588,0,1
V13A-1x,1222448,1991,Acc,A69-9004-1991,69,353,Acceleration,21.43,(m/s)/s,0.013588,0,1
V13A-1x,1222449,1992,Acc,A69-9004-1992,69,353,Acceleration,22.43,(m/s)/s,0.013588,0,1
