Name,SN,Added to VUE?,Printed ID,Scientific Name,Order #,Min Delay (sec),Max Delay (sec),Est Battery Life (days),Step 1 Time (days),Transmitter Model,Temp Range,Temp Accuracy (oC),Temp Resolution (oC),Depth Range,Max Depth,Depth Accuracy (m),Depth Resolution (0.22),ID or P sensor ID,P Slope,P Intercept,T sensor ID,T Slope,T Intercept,Short Common Name,Batch,Floy Tag #,PIT Code,Total Length,Weight,Sex,Surgeon,Surgery Time,Volts,HZ,Shock Time,Duty %,Mode,Clove oil (ppm),Date Tagged,Year Tagged,Est. Battery Dead,Capture Location Easting,Capture Location Northing,Release Location Easting,Release Location Northing,First Detection,Location,Status,First Detection Date,Final Date,Bad P Sensor,Notes
Bowfin 612,1165674,Y,27557,Amia calva,15473,130,270,1455,1465,V13-1x,,,,,,,,A69-1601-27557,,,,,,Bowfin,July 2013,006571 yellow,982000190216888,612,2442,M,Jon,2:50,90,100,300,?,?,NA,11/07/2013,2013,05/Jul/2017,Embayment C,,Embayment C,,,,,,,,
Bowfin 701,1165669,Y,27552,Amia calva,15473,130,270,1455,1465,V13-1x,,,,,,,,A69-1601-27552,,,,,,Bowfin,July 2013,006570 yellow,982000190216881,701,3850,F,Jon,3:28,90,100,300,?,?,NA,11/07/2013,2013,05/Jul/2017,Cell 3,,Cell 3,,,,,,,,
Pike 448,1165688,Y,9703,Esox lucius,15473,130,270,556,566,V9TP-2x,35 to -5 oC,0.5,0.15,0 to 50m,50,2.5,0.22,A69-9002-9703,0.2436,-0.8914,A69-9002-9702,0.1569,-5,Pike,July 2013,006574 yellow,982000190216840,448,646,?,Max,4:42,NA,NA,NA,NA,NA,60,11/07/2013,2013,18/Jan/2015,Cell 3,,Cell 3,,,,,,,,
Walleye 560,1164478,,13370,Sander vitreus,15387,130,270,1241,1251,V13TP-1x,35 to -5 oC,0.5,0.15,0 to 50m,50,2.5,0.22,A69-9002-13371,0.2439,-0.8518,A69-9002-13370,0.1569,-5,Walleye,July 2013,006572 yellow,982000190216876,560,2376,?,Jon,3:09,90,100,300,?,?,NA,11/07/2013,2013,03/Dec/2016,Cell 3,,Cell 3,,,,,,,,
Bass 156,1159718,Y,9907,Micropterus salmoides,14992,310,370,721,731,V7-4x,,,,,,,,A69-1601-9907,,,,,,Bass,July 2013,NA,NA,156,56,?,Max,5:57,NA,NA,NA,NA,NA,60,12/07/2013,2013,03/Jul/2015,Toronto Islands,,Toronto Islands,,,,,,,,
Bass 169,1159705,Y,9894,Micropterus salmoides,14992,310,370,721,731,V7-4x,,,,,,,,A69-1601-9894,,,,,,Bass,July 2013,NA,NA,169,60,?,Max,3:28,90,100,300,?,?,60,12/07/2013,2013,03/Jul/2015,Embayment C,,Embayment C,,,,,,,,2 x PES + clove oil
Bass 176,1159717,Y,9906,Micropterus salmoides,14992,310,370,721,731,V7-4x,,,,,,,,A69-1601-9906,,,,,,Bass,July 2013,NA,982000190216823,176,96,?,Max,3:00,NA,NA,NA,NA,NA,60,12/07/2013,2013,03/Jul/2015,Toronto Islands,,Toronto Islands,,,,,,,,
Bass 181,1159704,Y,9893,Micropterus salmoides,14992,310,370,721,731,V7-4x,,,,,,,,A69-1601-9893,,,,,,Bass,July 2013,NA,982000190216853,181,88,?,Max,3:33,90,100,300,?,?,NA,12/07/2013,2013,03/Jul/2015,Embayment C,,Embayment C,,,,,,,,
Bass 197,1159700,Y,9686,Micropterus salmoides,14907,310,370,721,731,V7-4x,,,,,,,,A69-1601-9686,,,,,,Bass,July 2013,NA,982000190216825,197,110,?,Max,3:45,90,100,300,?,?,60,12/07/2013,2013,03/Jul/2015,Toronto Islands,,Toronto Islands,,,,,,,,PES + clove oil
Bass 201,1159703,Y,9892,Micropterus salmoides,14992,310,370,721,731,V7-4x,,,,,,,,A69-1601-9892,,,,,,Bass,July 2013,NA,982000190216808,201,122,?,Max,2:54,90,100,300,?,?,NA,12/07/2013,2013,03/Jul/2015,Embayment C,,Embayment C,,,,,,,,
