Name,SN,Added to VUE?,Printed ID,Scientific Name,Order #,Min Delay (sec),Max Delay (sec),Est Battery Life (days),Step 1 Time (days),Transmitter Model,Temp Range,Temp Accuracy (oC),Temp Resolution (oC),Depth Range,Max Depth,Depth Accuracy (m),Depth Resolution (0.22),ID or P sensor ID,P Slope,P Intercept,T sensor ID,T Slope,T Intercept,Short Common Name,Batch,Floy Tag #,PIT Code,Total Length,Weight,Sex,Surgeon,Surgery Time,Volts,HZ,Shock Time,Duty %,Mode,Clove oil (ppm),Date Tagged,Year Tagged,Est. Battery Dead,Capture Location Easting,Capture Location Northing,Release Location Easting,Release Location Northing,First Detection,Location,Status,First Detection Date,Final Date,Bad P Sensor,Notes
Pike 567,1222435,Y,1978,Esox lucius,19671,90,180,353,370,V13A-1x,,,,,,,,A69-9004-1978,,,,,,Pike,,,7342,567,1200,,,,,,,,,,25/08/2015,2015,12/Aug/2016,,,,,,,,,,,
Pike 630,1222436,Y,1979,Esox lucius,19671,90,180,353,370,V13A-1x,,,,,,,,A69-9004-1979,,,,,,Pike,,,9947,630,1800,,,,,,,,,,25/08/2015,2015,12/Aug/2016,,,,,,,,,,,
Pike 829,1222449,Y,1992,Esox lucius,19671,90,180,353,370,V13A-1x,,,,,,,,A69-9004-1992,,,,,,Pike,,,9221,829,3550,,,,,,,,,,25/08/2015,2015,12/Aug/2016,,,,,,,,,,,
Pike 889,1222425,Y,57154,Esox lucius,19671,130,270,1825,1830,V13-1x,,,,,,,,A69-1601-57154,,,,,,Pike,,,9962,889,4500,,,,,,,,,,25/08/2015,2015,23/Aug/2020,,,,,,,,,,,
Pike 615,1222444,Y,1987,Esox lucius,19671,90,180,353,370,V13A-1x,,,,,,,,A69-9004-1987,,,,,,Pike,,,7579,615,1500,,,,,,,,,,26/08/2015,2015,13/Aug/2016,,,,,,,,,,,
Pike 685,1222421,Y,57150,Esox lucius,19671,130,270,1825,1830,V13-1x,,,,,,,,A69-1601-57150,,,,,,Pike,,,9292,685,2300,,,,,,,,,,26/08/2015,2015,24/Aug/2020,,,,,,,,,,,
Pike 690,1222445,Y,1988,Esox lucius,19671,90,180,353,370,V13A-1x,,,,,,,,A69-9004-1988,,,,,,Pike,,,7349,690,1700,,,,,,,,,,26/08/2015,2015,#REF!,,,,,,,,,,,
Pike 708,1222429,Y,57158,Esox lucius,19671,130,270,1825,1830,V13-1x,,,,,,,,A69-1601-57158,,,,,,Pike,,,7586,708,2300,,,,,,,,,,26/08/2015,2015,24/Aug/2020,,,,,,,,,,,
Pike 828,1222448,Y,1991,Esox lucius,19671,90,180,353,370,V13A-1x,,,,,,,,A69-9004-1991,,,,,,Pike,,,9986,828,4100,,,,,,,,,,26/08/2015,2015,13/Aug/2016,,,,,,,,,,,
Pike 960,1222423,Y,57152,Esox lucius,19671,130,270,1825,1830,V13-1x,,,,,,,,A69-1601-57152,,,,,,Pike,,,3898,960,7200,,,,,,,,,,26/08/2015,2015,24/Aug/2020,,,,,,,,,,,
Bass 403,1222440,Y,1983,Micropterus salmoides,19671,90,180,353,370,V13A-1x,,,,,,,,A69-9004-1983,,,,,,Bass,,,9905,403,1100,,,,,,,,,,27/08/2015,2015,14/Aug/2016,,,,,,,,,,,
Bass 495b,1222441,Y,1984,Micropterus salmoides,19671,90,180,353,370,V13A-1x,,,,,,,,A69-9004-1984,,,,,,Bass,,,7628,495,1960,,,,,,,,,,27/08/2015,2015,14/Aug/2016,,,,,,,,,,,
Pike 604,1222416,Y,57145,Esox lucius,19671,130,270,1825,1830,V13-1x,,,,,,,,A69-1601-57145,,,,,,Pike,,,7471,604,1050,,,,,,,,,,27/08/2015,2015,25/Aug/2020,,,,,,,,,,,
Pike 817,1222438,Y,1981,Esox lucius,19671,90,180,353,370,V13A-1x,,,,,,,,A69-9004-1981,,,,,,Pike,,,9234,817,3400,,,,,,,,,,27/08/2015,2015,14/Aug/2016,,,,,,,,,,,
Bass 275,1222419,Y,57148,Micropterus salmoides,19671,130,270,1825,1830,V13-1x,,,,,,,,A69-1601-57148,,,,,,Bass,,,9591,275,400,,,,,,,,,,31/08/2015,2015,29/Aug/2020,,,,,,,,,,,
Bass 403b,1222446,Y,1989,Micropterus salmoides,19671,90,180,353,370,V13A-1x,,,,,,,,A69-9004-1989,,,,,,Bass,,,7639,403,900,,,,,,,,,,31/08/2015,2015,18/Aug/2016,,,,,,,,,,,
Bass 404,1222434,Y,1977,Micropterus salmoides,19671,90,180,353,370,V13A-1x,,,,,,,,A69-9004-1977,,,,,,Bass,,,7448,404,1000,,,,,,,,,,31/08/2015,2015,18/Aug/2016,,,,,,,,,,,
Pike 655b,1222437,Y,1980,Esox lucius,19671,90,180,353,370,V13A-1x,,,,,,,,A69-9004-1980,,,,,,Pike,,,9951,655,1800,,,,,,,,,,26.08.2015,2015,#VALUE!,,,,,,,,,,,
Pike 510,1222417,Y,57146,Esox lucius,19671,130,270,1825,1830,V13-1x,,,,,,,,A69-1601-57146,,,,,,Pike,,,7432,510,800,,,,,,,,,,27.08.2015,2015,#VALUE!,,,,,,,,,,,
Bass 321b,1193442,Y,10675,Micropterus salmoides,17456,90,180,353,,V13A-1x,,,,,,,,A69-9002-10675,,,,,,Bass,,,,321,400,,Jon,,,,,,,,Aug/Sept 2014,2014,#VALUE!,,,,,,,,,,,
Bass 326,1193449,Y,10682,Micropterus salmoides,17456,90,180,353,,V13A-1x,,,,,,,,A69-9002-10682,,,,,,Bass,,,,326,700,,Jon,,,,,,,,Aug/Sept 2014,2014,#VALUE!,,,,,,,,,,,
Bass 334,1193433,Y,10666,Micropterus salmoides,17456,90,180,353,,V13A-1x,,,,,,,,,,,,,,Bass,,,,334,700,,Jon,,,,,,,,Aug/Sept 2014,2014,#VALUE!,,,,,,,,,,,
Bass 392b,1193441,Y,10674,Micropterus salmoides,17456,90,180,353,,V13A-1x,,,,,,,,,,,,,,Bass,,,,392,1050,,Andrew,,,,,,,,Aug/Sept 2014,2014,#VALUE!,,,,,,,,,,,
Bass 393b,1193432,Y,10665,Micropterus salmoides,17456,90,180,353,,V13A-1x,,,,,,,,,,,,,,Bass,,,,393,1075,,Jon,,,,,,,,Aug/Sept 2014,2014,#VALUE!,,,,,,,,,,,
Bass 405,1193431,Y,10664,Micropterus salmoides,17456,90,180,353,,V13A-1x,,,,,,,,,,,,,,Bass,,,,405,1050,,Jon,,,,,,,,Aug/Sept 2014,2014,#VALUE!,,,,,,,,,,,
Bass 415,1193437,Y,10670,Micropterus salmoides,17456,90,180,353,,V13A-1x,,,,,,,,,,,,,,Bass,,,,415,1200,,Andrew,,,,,,,,Aug/Sept 2014,2014,#VALUE!,,,,,,,,,,,
Bass 453b,1193458,Y,10691,Micropterus salmoides,17456,90,180,353,,V13A-1x,,,,,,,,,,,,,,Bass,,,,453,1750,,Andrew,,,,,,,,Aug/Sept 2014,2014,#VALUE!,,,,,,,,,,,
Bass 457b,1193455,Y,10688,Micropterus salmoides,17456,90,180,353,,V13A-1x,,,,,,,,,,,,,,Bass,,,,457,950,,Andrew,,,,,,,,Aug/Sept 2014,2014,#VALUE!,,,,,,,,,,,
Bass 462,1193459,Y,10692,Micropterus salmoides,17456,90,180,353,,V13A-1x,,,,,,,,,,,,,,Bass,,,,462,1350,,Liset,,,,,,,,Aug/Sept 2014,2014,#VALUE!,,,,,,,,,,,
Bass 466b,1193451,Y,10684,Micropterus salmoides,17456,90,180,353,,V13A-1x,,,,,,,,,,,,,,Bass,,,,466,1750,,Jon,,,,,,,,Aug/Sept 2014,2014,#VALUE!,,,,,,,,,,,
Bass 473,1193435,Y,10668,Micropterus salmoides,17456,90,180,353,,V13A-1x,,,,,,,,,,,,,,Bass,,,,473,2050,,Andrew,,,,,,,,Aug/Sept 2014,2014,#VALUE!,,,,,,,,,,,
Bass 490c,1193440,Y,10673,Micropterus salmoides,17456,90,180,353,,V13A-1x,,,,,,,,,,,,,,Bass,,,,490,2080,,Jon,,,,,,,,Aug/Sept 2014,2014,#VALUE!,,,,,,,,,,,
Pike 434,1193452,Y,10685,Esox lucius,17456,90,180,353,,V13A-1x,,,,,,,,,,,,,,Pike,,,,434,550,,Jon,,,,,,,,Aug/Sept 2014,2014,#VALUE!,,,,,,,,,,,
Pike 458,1193447,,10680,Esox lucius,17456,90,180,353,,V13A-1x,,,,,,,,,,,,,,Pike,,,,458,650,,Jon,,,,,,,,Aug/Sept 2014,2014,#VALUE!,,,,,,,,,,,
Pike 468,1193453,,10686,Esox lucius,17456,90,180,353,,V13A-1x,,,,,,,,,,,,,,Pike,,,,468,750,,Jon,,,,,,,,Aug/Sept 2014,2014,#VALUE!,,,,,,,,,,,
Pike 469,1193443,,10676,Esox lucius,17456,90,180,353,,V13A-1x,,,,,,,,,,,,,,Pike,,,,469,500,,Jon,,,,,,,,Aug/Sept 2014,2014,#VALUE!,,,,,,,,,,,
Pike 501,1193438,,10671,Esox lucius,17456,90,180,353,,V13A-1x,,,,,,,,,,,,,,Pike,,,,501,600,,Jon,,,,,,,,Aug/Sept 2014,2014,#VALUE!,,,,,,,,,,,
Pike 504,1193448,,10681,Esox lucius,17456,90,180,353,,V13A-1x,,,,,,,,,,,,,,Pike,,,,504,800,,Jon,,,,,,,,Aug/Sept 2014,2014,#VALUE!,,,,,,,,,,,
Pike 538,1193445,Y,10678,Esox lucius,17456,90,180,353,,V13A-1x,,,,,,,,,,,,,,Pike,,,,538,1150,,Jon,,,,,,,,Aug/Sept 2014,2014,#VALUE!,,,,,,,,,,,
Pike 568,1193444,,10677,Esox lucius,17456,90,180,353,,V13A-1x,,,,,,,,,,,,,,Pike,,,,568,950,,Liset,,,,,,,,Aug/Sept 2014,2014,#VALUE!,,,,,,,,,,,
Pike 584,1193430,Y,10663,Esox lucius,17456,90,180,353,,V13A-1x,,,,,,,,,,,,,,Pike,,,,584,1250,,Jon,,,,,,,,Aug/Sept 2014,2014,#VALUE!,,,,,,,,,,,
Pike 641,1193439,Y,10672,Esox lucius,17456,90,180,353,,V13A-1x,,,,,,,,,,,,,,Pike,,,,641,1500,,Jon,,,,,,,,Aug/Sept 2014,2014,#VALUE!,,,,,,,,,,,
Pike 646,1193457,,10690,Esox lucius,17456,90,180,353,,V13A-1x,,,,,,,,,,,,,,Pike,,,,646,1400,,Andrew,,,,,,,,Aug/Sept 2014,2014,#VALUE!,,,,,,,,,,,
Pike 680,1193436,Y,10669,Esox lucius,17456,90,180,353,,V13A-1x,,,,,,,,,,,,,,Pike,,,,680,2250,,Andrew,,,,,,,,Aug/Sept 2014,2014,#VALUE!,,,,,,,,,,,
Pike 713,1193446,Y,10679,Esox lucius,17456,90,180,353,,V13A-1x,,,,,,,,,,,,,,Pike,,,,713,2200,,Jon,,,,,,,,Aug/Sept 2014,2014,#VALUE!,,,,,,,,,,,
Pike 790b,1193456,Y,10689,Esox lucius,17456,90,180,353,,V13A-1x,,,,,,,,,,,,,,Pike,,,,790,3000,,Andrew,,,,,,,,Aug/Sept 2014,2014,#VALUE!,,,,,,,,,,,
Pike 967,1193434,Y,10667,Esox lucius,17456,90,180,353,,V13A-1x,,,,,,,,,,,,,,Pike,,,,967,5600,,Andrew,,,,,,,,Aug/Sept 2014,2014,#VALUE!,,,,,,,,,,,
Range Test Tag 1,1075823,,5633,,8585,60,60,,10,V13-1x,,,,,0,,,A69-1303-5633,,,,,,Range Test Tag,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Range Test Tag 10,1193464,,52087,,17456,90,90,97,,V7-4x,,,,,,,,,,,,,,Range Test Tag,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Range Test Tag 11,1193465,,52423,,17456,90,90,97,,V7-4x,,,,,,,,,,,,,,Range Test Tag,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Range Test Tag 2,1100010,,60598,,10423,7,7,,10,V13-1x,,,,,0,,,A69-1303-60598,,,,,,Range Test Tag,,,,,,,,,,,,,,,,,,,,,,,,,,,9,
Range Test Tag 3,1145184,,29970,,13754,7,7,108,10,V13-1x,,,,,0,,,A69-1601-29970,,,,,,Range Test Tag,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Range Test Tag 4,1075821,,8,,8585,60,60,,5,V7-4x,,,,,0,,,A69-1303-8,,,,,,Range Test Tag,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Range Test Tag 5,1075822,,33,,8585,60,60,,5,V9-2x,,,,,0,,,A69-1303-33,,,,,,Range Test Tag,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Range Test Tag 6,1193460,,4331,,17456,90,90,613,,V13-1x,,,,,,,,,,,,,,Range Test Tag,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Range Test Tag 7,1193461,,4632,,17456,90,90,613,,V13-1x,,,,,,,,,,,,,,Range Test Tag,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Range Test Tag 8,1193462,,7798,,17456,90,90,337,,V9-2x,,,,,,,,,,,,,,Range Test Tag,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Range Test Tag 9,1193463,,8137,,17456,90,90,337,,V9-2x,,,,,,,,,,,,,,Range Test Tag,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sync Tag 1,1091907,,48095,,9708,500,700,,3650,V16-5x,,,,,0,,,A69-1303-48095,,,,,,Sync Tag,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sync Tag 10,1070514,,65320,,8130,300,900,1303,3650,V16-5x,,,,,0,,,A69-1303-65320,,,,,,Sync Tag,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sync Tag 11,1070515,,65321,,8130,300,900,1303,3650,V16-5x,,,,,0,,,A69-1303-65321,,,,,,Sync Tag,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sync Tag 12,1070516,,65322,,8130,300,900,1303,3650,V16-5x,,,,,0,,,A69-1303-65322,,,,,,Sync Tag,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sync Tag 13,1070517,,65323,,8130,300,900,1303,3650,V16-5x,,,,,0,,,A69-1303-65323,,,,,,Sync Tag,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sync Tag 14,1070518,,65324,,8130,300,900,1303,3650,V16-5x,,,,,0,,,A69-1303-65324,,,,,,Sync Tag,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sync Tag 15,1070519,,65325,,8130,300,900,1303,3650,V16-5x,,,,,0,,,A69-1303-65325,,,,,,Sync Tag,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sync Tag 16,1070520,,65326,,8130,300,900,1303,3650,V16-5x,,,,,0,,,A69-1303-65326,,,,,,Sync Tag,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sync Tag 17,1070521,,65327,,8130,300,900,1303,3650,V16-5x,,,,,0,,,A69-1303-65327,,,,,,Sync Tag,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sync Tag 18,1070522,,65328,,8130,300,900,1303,3650,V16-5x,,,,,0,,,A69-1303-65328,,,,,,Sync Tag,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sync Tag 19,1070523,,65329,,8130,300,900,1303,3650,V16-5x,,,,,0,,,A69-1303-65329,,,,,,Sync Tag,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sync Tag 2,1091908,,48096,,9708,500,700,,3650,V16-5x,,,,,0,,,A69-1303-48096,,,,,,Sync Tag,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sync Tag 20,1070524,,65330,,8130,300,900,1303,3650,V16-5x,,,,,0,,,A69-1303-65330,,,,,,Sync Tag,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sync Tag 21,1149732,,65001,,14271,500,700,3330,3340,V13-1x,,,,,0,,,A69-1601-65001,,,,,,Sync Tag,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sync Tag 22,1149733,,65002,,14271,500,700,3330,3340,V13-1x,,,,,0,,,A69-1601-65002,,,,,,Sync Tag,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sync Tag 23,1149734,,65003,,14271,500,700,3330,3340,V13-1x,,,,,0,,,A69-1601-65003,,,,,,Sync Tag,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sync Tag 24,1149735,,65004,,14271,500,700,3330,3340,V13-1x,,,,,0,,,A69-1601-65004,,,,,,Sync Tag,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sync Tag 25,1149736,,65005,,14271,500,700,3330,3340,V13-1x,,,,,0,,,A69-1601-65005,,,,,,Sync Tag,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sync Tag 26,1149737,,65006,,14271,500,700,3330,3340,V13-1x,,,,,0,,,A69-1601-65006,,,,,,Sync Tag,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sync Tag 27,1149738,,65007,,14271,500,700,3330,3340,V13-1x,,,,,0,,,A69-1601-65007,,,,,,Sync Tag,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sync Tag 28,1149739,,65008,,14271,500,700,3330,3340,V13-1x,,,,,0,,,A69-1601-65008,,,,,,Sync Tag,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sync Tag 3,1091909,,48097,,9708,500,700,,3650,V16-5x,,,,,0,,,A69-1303-48097,,,,,,Sync Tag,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sync Tag 4,1091910,,48098,,9708,500,700,,3650,V16-5x,,,,,0,,,A69-1303-48098,,,,,,Sync Tag,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sync Tag 5,1091911,,48099,,9708,500,700,,3650,V16-5x,,,,,0,,,A69-1303-48099,,,,,,Sync Tag,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sync Tag 6,1091912,,48100,,9708,500,700,,3650,V16-5x,,,,,0,,,A69-1303-48100,,,,,,Sync Tag,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sync Tag 7,1070511,,65317,,8130,300,900,1303,3650,V16-5x,,,,,0,,,A69-1303-65317,,,,,,Sync Tag,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sync Tag 8,1070512,,65318,,8130,300,900,1303,3650,V16-5x,,,,,0,,,A69-1303-65318,,,,,,Sync Tag,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sync Tag 9,1070513,,65319,,8130,300,900,1303,3650,V16-5x,,,,,0,,,A69-1303-65319,,,,,,Sync Tag,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carp 851,1325601,,12929,Cyprinus carpio,28025,80,160,980,985,V13TP-1x-069k-1-0068m,,,,,,,,12930,0.3032,-1.2129,12929,0.1569,-5,,,,,851,,,Morgan,,,,,,,,11/1/2021 23:59,2021,,Don River,,,,,,Alive,,,,
Bass 283,1325602,,12931,Micropterus salmoides,28025,80,160,980,985,V13TP-1x-069k-1-0068m,,,,,,,,12932,0.3032,-1.2129,12931,0.1569,-5,,,,,283,,,Morgan,,,,,,,,10/13/2021 23:59,2021,,Embayment C,,,,,,Alive,,,,
Bass 405b,1325603,,2933,Micropterus salmoides,28025,80,160,980,985,V13TP-1x-069k-1-0068m,,,,,,,,12934,0.3032,-1.2129,12933,0.1569,-5,,,,,405,,,Morgan,,,,,,,,10/13/2021 23:59,2021,,Embayment C,,,,,,Alive,,,,
Bass 244,1325604,,12935,Micropterus salmoides,28025,80,160,980,985,V13TP-1x-069k-1-0068m,,,,,,,,12936,0.3032,-1.2129,12935,0.1569,-5,,,,,244,,,Morgan,,,,,,,,10/14/2021 23:59,2021,,Toronto Islands,,,,,,No detections,,,,
Bass 288b,1325606,,12939,Micropterus salmoides,28025,80,160,980,985,V13TP-1x-069k-1-0068m,,,,,,,,12940,0.3032,-1.2129,12939,0.1569,-5,,,,,288,,,Morgan,,,,,,,,10/14/2021 23:59,2021,,Toronto Islands,,,,,,Alive,,,,
Pike 315,1325607,,12941,Esox lucius,28025,80,160,980,985,V13TP-1x-069k-1-0068m,,,,,,,,12942,0.3032,-1.2129,12941,0.1569,-5,,,,,315,,,Morgan,,,,,,,,10/14/2021 23:59,2021,,Toronto Islands,,,,,,Dead,,,,
Bass 275,1325608,,12943,Micropterus salmoides,28025,80,160,980,985,V13TP-1x-069k-1-0068m,,,,,,,,12944,0.3032,-1.2129,12943,0.1569,-5,,,,,275,,,Morgan,,,,,,,,10/14/2021 23:59,2021,,Toronto Islands,,,,,,Alive,,,,
Pike 375,1329040,,12748,Esox lucius,28275,130,270,1244,1249,V13P-1x-069k-1-0034m,,,,,,,,12748,0.1516,-0.6065,,,,,,,,375,,,Morgan,,,,,,,,11/1/2021 23:59,2021,,Toronto Islands,,,,,,Faulty Tags? Or left?,,,,
Pike 296,1329041,,12749,Esox lucius,28275,130,270,1244,1249,V13P-1x-069k-1-0034m,,,,,,,,12749,0.1516,-0.6065,,,,,,,,296,,,Morgan,,,,,,,,11/1/2021 23:59,2021,,Toronto Islands,,,,,,Alive,,,,
Pike 362,1329042,,12750,Esox lucius,28275,130,270,1244,1249,V13P-1x-069k-1-0034m,,,,,,,,12750,0.1516,-0.6065,,,,,,,,362,,,Morgan,,,,,,,,11/1/2021 23:59,2021,,Toronto Islands,,,,,,Dead,,6/1/2022,,
Pike 340,1329043,,12751,Esox lucius,28275,130,270,1244,1249,V13P-1x-069k-1-0034m,,,,,,,,12751,0.1516,-0.6065,,,,,,,,340,,,Morgan,,,,,,,,11/1/2021 23:59,2021,,Toronto Islands,,,,,,Alive,,,,
Pike 425,1329044,,12752,Esox lucius,28275,130,270,1244,1249,V13P-1x-069k-1-0034m,,,,,,,,12752,0.1516,-0.6065,,,,,,,,425,,,Morgan,,,,,,,,11/1/2021 23:59,2021,,Toronto Islands,,,,,,Alive,,,,
Pike 423,1329045,,12753,Esox lucius,28275,130,270,1244,1249,V13P-1x-069k-1-0034m,,,,,,,,12753,0.1516,-0.6065,,,,,,,,423,,,Morgan,,,,,,,,11/1/2021 23:59,2021,,Toronto Islands,,,,,,Faulty Tag?,,,,
Pike 560,1329047,,12755,Esox lucius,28275,130,270,1244,1249,V13P-1x-069k-1-0034m,,,,,,,,12755,0.1516,-0.6065,,,,,,,,560,,,Morgan,,,,,,,,11/1/2021 23:59,2021,,Toronto Islands,,,,,,Alive,,,,
Carp 930,1329048,,12756,Cyprinus carpio,28275,130,270,1244,1249,V13P-1x-069k-1-0034m,,,,,,,,12756,0.1516,-0.6065,,,,,,,,930,,,Morgan,,,,,,,,11/1/2021 23:59,2021,,Don River,,,,,,Alive,,,,
Carp 685,1329049,,12757,Cyprinus carpio,28275,130,270,1244,1249,V13P-1x-069k-1-0034m,,,,,,,,12757,0.1516,-0.6065,,,,,,,,685,,,Morgan,,,,,,,,11/1/2021 23:59,2021,,Don River,,,,,,Alive- Emigrated?,,3/31/2022,,
Carp 846,1329050,,12758,Cyprinus carpio,28275,130,270,1244,1249,V13P-1x-069k-1-0034m,,,,,,,,12758,0.1516,-0.6065,,,,,,,,846,,,Morgan,,,,,,,,11/1/2021 23:59,2021,,Don River,,,,,,Dead?,,6/15/2022,,
Carp 694,1329051,,12759,Cyprinus carpio,28275,130,270,1244,1249,V13P-1x-069k-1-0034m,,,,,,,,12759,0.1516,-0.6065,,,,,,,,694,,,Morgan,,,,,,,,11/1/2021 23:59,2021,,Don River,,,,,,Alive- Emigrated,,,,
Pike 260,1329052,,12760,Esox lucius,28275,130,270,1244,1249,V13P-1x-069k-1-0034m,,,,,,,,12760,0.1516,-0.6065,,,,,,,,260,,,Morgan,,,,,,,,11/1/2021 23:59,2021,,Embayment C,,,,,,Alive,,,,
Pike 606,1329053,,12761,Esox lucius,28275,130,270,1244,1249,V13P-1x-069k-1-0034m,,,,,,,,12761,0.1516,-0.6065,,,,,,,,606,,,Morgan,,,,,,,,11/1/2021 23:59,2021,,Embayment C,,,,,,Alive,,,,
Carp 691,1329054,,12762,Cyprinus carpio,28275,130,270,1244,1249,V13P-1x-069k-1-0034m,,,,,,,,12762,0.1516,-0.6065,,,,,,,,691,,,Morgan,,,,,,,,10/14/2021 23:59,2021,,Don River,,,,,,Alive- Emigrated?,,2022-03-39,,
Carp 630,1329055,,12763,Cyprinus carpio,28275,130,270,1244,1249,V13P-1x-069k-1-0034m,,,,,,,,12763,0.1516,-0.6065,,,,,,,,630,,,Morgan,,,,,,,,10/15/2021 23:59,2021,,Don River,,,,,,Alive- Emigrated?,,3/24/2022,,
Carp 680,1329056,,12764,Cyprinus carpio,28275,130,270,1244,1249,V13P-1x-069k-1-0034m,,,,,,,,12764,0.1516,-0.6065,,,,,,,,680,,,Morgan,,,,,,,,10/15/2021 23:59,2021,,Don River,,,,,,Alive,,,,
Carp 689,1329057,,12765,Cyprinus carpio,28275,130,270,1244,1249,V13P-1x-069k-1-0034m,,,,,,,,12765,0.1516,-0.6065,,,,,,,,689,,,Morgan,,,,,,,,10/15/2021 23:59,2021,,Don River,,,,,,Alive- Emigrated?,,4/21/2022,,
Carp 716,1329058,,12766,Cyprinus carpio,28275,130,270,1244,1249,V13P-1x-069k-1-0034m,,,,,,,,12766,0.1516,-0.6065,,,,,,,,716,,,Morgan,,,,,,,,10/15/2021 23:59,2021,,Don River,,,,,,Alive,,,,
Carp 759,1329059,,12767,Cyprinus carpio,28275,130,270,1244,1249,V13P-1x-069k-1-0034m,,,,,,,,12767,0.1516,-0.6065,,,,,,,,759,,,Morgan,,,,,,,,10/15/2021 23:59,2021,,Don River,,,,,,Alive- Emigrated?,,2/18/2022,,
Pike 391,1329060,,12768,Esox lucius,28275,130,270,1244,1249,V13P-1x-069k-1-0034m,,,,,,,,12768,0.1516,-0.6065,,,,,,,,391,,,Morgan,,,,,,,,10/15/2021 23:59,2021,,Toronto Islands,,,,,,Faulty Tag?,,,,
Carp 229,1329061,,12769,Cyprinus carpio,28275,130,270,1244,1249,V13P-1x-069k-1-0034m,,,,,,,,12769,0.1516,-0.6065,,,,,,,,229,,,Morgan,,,,,,,,10/15/2021 23:59,2021,,Toronto Islands,,,,,,Faulty Tag?,,,,
Pike 275,1329062,,12770,Esox lucius,28275,130,270,1244,1249,V13P-1x-069k-1-0034m,,,,,,,,12770,0.1516,-0.6065,,,,,,,,275,,,Morgan,,,,,,,,10/15/2021 23:59,2021,,Toronto Islands,,,,,,Dead,,10/23/2021,,
Pike 514,1329063,,12771,Esox lucius,28275,130,270,1244,1249,V13P-1x-069k-1-0034m,,,,,,,,12771,0.1516,-0.6065,,,,,,,,514,,,Morgan,,,,,,,,10/15/2021 23:59,2021,,Toronto Islands,,,,,,Alive,,,,
Bass 241,1374737,,4372,Micropterus salmoides,30998,130,270,1601,1601,V13TP-1x-BLU-1-0034m,,,,,,,,4373,0.1516,-0.6065,4372,0.1569,-5,,,,,241,,,Morgan,,,,,,,,10/13/2021 23:59,2021,,Embayment C,,,,,,Alive,,,,
Bass 227,1374738,,7374,Micropterus salmoides,30998,130,270,1601,1601,V13TP-1x-BLU-1-0034m,,,,,,,,4375,0.1516,-0.6065,4374,0.1569,-5,,,,,227,,,Morgan,,,,,,,,10/13/2021 23:59,2021,,Embayment C,,,,,,Alive,,,,
Bass 251,1374739,,4376,Micropterus salmoides,30998,130,270,1601,1601,V13TP-1x-BLU-1-0034m,,,,,,,,4377,0.1516,-0.6065,4376,0.1569,-5,,,,,251,,,Morgan,,,,,,,,10/13/2021 23:59,2021,,Embayment C,,,,,,Alive,,,,
Bass 218,1374740,,4378,Micropterus salmoides,30998,130,270,1601,1601,V13TP-1x-BLU-1-0034m,,,,,,,,4379,0.1516,-0.6065,4378,0.1569,-5,,,,,218,,,Morgan,,,,,,,,10/13/2021 23:59,2021,,Embayment C,,,,,,Alive,,,,
